City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Albany,US,79.75,clear sky,42.6001,-73.9662,
3,Ponta Delgada,PT,75.92,broken clouds,37.7333,-25.6667,Vila Nova Hotel
6,Luang Prabang,LA,75.24,broken clouds,19.8856,102.1347,Villa Oasis
10,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
16,Bethel,US,85.1,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
17,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
27,Kavaratti,IN,81.95,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
29,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
35,Marzuq,YE,85.3,broken clouds,14.4,46.4667,
36,Ban Dung,TH,81.1,overcast clouds,17.699,103.2596,Heuan Na Khee
38,Ribeira Grande,PT,79.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
39,Wenling,CN,80.91,moderate rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
40,Muros,ES,76.68,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
43,Honiara,SB,78.04,overcast clouds,-9.4333,159.95,Heritage Park Hotel
45,Pucallpa,PE,82.44,few clouds,-8.3791,-74.5539,Hospedaje Komby
46,Atuona,PF,77.67,few clouds,-9.8,-139.0333,Villa Enata
51,Yenotayevka,RU,83.01,light rain,47.2456,47.0281,Hotel Voyage
53,Uyutne,UA,89.44,clear sky,45.1994,33.3014,Apogey Gotel' Zat
57,Jamestown,US,80.08,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Itarema,BR,87.22,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
59,Port Alfred,ZA,78.01,clear sky,-33.5906,26.891,The Halyards Hotel
61,Port Elizabeth,ZA,83.1,clear sky,-33.918,25.5701,39 On Nile Guest House
63,Mattru,SL,77.68,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
67,Marsh Harbour,BS,84.11,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
68,Khatanga,RU,79.97,scattered clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
72,Sakaiminato,JP,80.58,broken clouds,35.55,133.2333,味処・民宿 まつや
78,Cabo San Lucas,MX,85.8,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
79,Osinki,RU,77.18,broken clouds,52.8432,49.5132,
83,Mangrol,IN,82.31,moderate rain,21.1167,70.1167,Hotel The Royal Honours
86,Hithadhoo,MV,81.16,heavy intensity rain,-0.6,73.0833,Scoop Guest House
87,Namibe,AO,75.96,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
89,Norsup,VU,76.48,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
90,Newton,US,84.54,haze,42.337,-71.2092,Sheraton Boston Needham Hotel
91,Katsuura,JP,83.1,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
97,Madang,PG,77.5,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
99,Samarai,PG,78.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
102,Namatanai,PG,79.14,light rain,-3.6667,152.4333,Seagulls Inn Namatani
105,Mayahi,NE,89.31,overcast clouds,13.9553,7.6712,
106,Merauke,ID,77.07,overcast clouds,-8.4667,140.3333,
107,Caldwell,US,79.47,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
108,San Policarpo,PH,82.62,moderate rain,12.1791,125.5072,JM Lodge
109,Gorlice,PL,80.74,overcast clouds,49.6556,21.1604,Motelik Grosar
114,Sao Jose Da Coroa Grande,BR,78.55,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
115,Hirara,JP,82.04,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
117,Martuni,AM,76.57,few clouds,40.1377,45.3045,Siro Kenats
126,Oyonnax,FR,78.33,overcast clouds,46.2592,5.6573,Central Park Hôtel
127,Candelaria,PH,84.38,overcast clouds,13.9311,121.4233,Casa de Provincia
128,Ponta Do Sol,PT,80.71,clear sky,32.6667,-17.1,Hotel do Campo
129,Bengkulu,ID,77.72,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
131,Butaritari,KI,81.68,moderate rain,3.0707,172.7902,Isles Sunset Lodge
133,Havelock,US,87.06,clear sky,34.8791,-76.9013,Sherwood Motel
134,Vanimo,PG,78.82,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
135,Jieshi,CN,86.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
136,Bubaque,GW,80.82,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
138,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
139,Hasaki,JP,75.49,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
141,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
147,Aktau,KZ,88.38,scattered clouds,43.65,51.2,Silk Way Hotel
148,Kahului,US,77.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
154,Kalmunai,LK,86.23,broken clouds,7.4167,81.8167,VS Villa
156,Muisne,EC,77.11,overcast clouds,0.6,-80.0333,Quinta Samay
163,West Bay,KY,87.06,broken clouds,19.3667,-81.4167,Calypso Cove
164,Tual,ID,81.41,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
167,Palmeiras De Goias,BR,82.9,clear sky,-16.805,-49.9258,Hotel Água Virada
172,Pokrovsk,UA,86.86,clear sky,48.282,37.1758,Druzhba
173,Lorengau,PG,82.51,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
174,Sola,VU,79.95,overcast clouds,-13.8833,167.55,Leumerus Bungalows
177,Tabuk,PH,79.07,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
179,Khyriv,UA,80.49,heavy intensity rain,49.5333,22.8524,Layar Palace
180,Anqing,CN,77.68,light rain,30.5092,117.0506,Hongtian Hotel
182,Houma,US,87.8,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
186,Sillod,IN,75.74,overcast clouds,20.3,75.65,पवन
188,Road Town,VG,85.19,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
189,Hamilton,US,81.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
190,Fomboni,KM,76.24,few clouds,-12.28,43.7425,Auberge les abou
191,Mineiros,BR,83.23,few clouds,-17.5694,-52.5511,Pilões Palace Hotel
195,Waspan,NI,80.28,few clouds,14.7419,-83.9717,Hostal casa de la rose
196,Faanui,PF,77.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
197,San Patricio,US,84.81,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
202,Candido Mendes,BR,85.95,scattered clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
203,El Roble,CO,75.27,overcast clouds,9.1019,-75.1951,Los Frailes
