City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ushuaia,AR,-54.8,-68.3,35.26,87,90,6.91,overcast clouds
1,Albany,US,42.6001,-73.9662,79.75,67,5,1.95,clear sky
2,Margate,GB,51.3813,1.3862,71.69,74,100,3.0,overcast clouds
3,Ponta Delgada,PT,37.7333,-25.6667,75.92,78,75,12.66,broken clouds
4,Bluff,NZ,-46.6,168.3333,47.8,81,95,16.26,overcast clouds
5,Solnechnyy,RU,50.7214,136.6319,67.08,99,100,2.75,overcast clouds
6,Luang Prabang,LA,19.8856,102.1347,75.24,99,75,1.81,broken clouds
7,Lasa,IT,46.6166,10.7002,72.34,65,51,6.73,broken clouds
8,Panambi,BR,-28.2925,-53.5017,52.43,62,75,15.61,broken clouds
9,Hermanus,ZA,-34.4187,19.2345,65.8,71,28,25.9,scattered clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,47,0,11.5,clear sky
11,Selizharovo,RU,56.8519,33.4487,73.96,60,93,12.39,overcast clouds
12,Dikson,RU,73.5069,80.5464,44.04,100,100,18.3,moderate rain
13,Vaini,TO,-21.2,-175.2,66.36,94,75,6.91,broken clouds
14,Bamako,ML,12.65,-8.0,91.81,55,75,8.05,broken clouds
15,La Ronge,CA,55.1001,-105.2842,64.65,68,90,3.44,overcast clouds
16,Bethel,US,41.3712,-73.414,85.1,68,1,1.99,clear sky
17,East London,ZA,-33.0153,27.9116,83.34,14,0,13.8,clear sky
18,Hilo,US,19.7297,-155.09,73.13,94,90,3.44,moderate rain
19,Provideniya,RU,64.3833,-173.3,46.92,99,100,9.86,light rain
20,Mataura,NZ,-46.1927,168.8643,47.48,84,100,3.15,moderate rain
21,Thompson,CA,55.7435,-97.8558,64.56,63,40,5.75,scattered clouds
22,Avarua,CK,-21.2078,-159.775,69.85,94,75,3.44,broken clouds
23,Yellowknife,CA,62.456,-114.3525,54.28,87,75,1.99,broken clouds
24,Taoudenni,ML,22.6783,-3.9836,114.85,4,6,2.66,clear sky
