City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mumbwa,ZM,2021-07-21 14:17:51,-14.9783,27.0619,80.11,20,0,5.19
1,Jamestown,US,2021-07-21 14:17:52,42.097,-79.2353,69.12,94,90,5.99
2,Puerto Ayora,EC,2021-07-21 14:17:52,-0.7393,-90.3518,76.96,91,100,11.01
3,Ushuaia,AR,2021-07-21 14:17:52,-54.8,-68.3,29.86,80,20,5.75
4,Provideniya,RU,2021-07-21 14:17:30,64.3833,-173.3,42.76,80,100,6.78
5,Hobart,AU,2021-07-21 14:17:53,-42.8794,147.3294,49.05,75,59,4.0
6,Gizo,SB,2021-07-21 14:17:53,-8.103,156.8419,80.92,79,24,8.79
7,Busselton,AU,2021-07-21 14:17:53,-33.65,115.3333,51.04,80,93,8.55
8,Port Alfred,ZA,2021-07-21 14:17:53,-33.5906,26.891,64.13,27,0,24.79
9,Fare,PF,2021-07-21 14:17:53,-16.7,-151.0167,78.64,77,3,20.0
10,Lagoa,PT,2021-07-21 14:17:53,39.05,-27.9833,67.32,75,67,15.95
11,Zeya,RU,2021-07-21 14:17:53,53.75,127.2667,71.87,90,100,1.5
12,Vaini,TO,2021-07-21 14:17:54,-21.2,-175.2,73.56,94,20,5.75
13,Ribeira Grande,PT,2021-07-21 14:17:54,38.5167,-28.7,73.8,64,40,16.11
14,Yafran,LY,2021-07-21 14:13:20,32.0633,12.5286,88.32,21,0,17.9
15,Gramoteino,RU,2021-07-21 14:17:54,54.5368,86.3839,65.93,82,0,7.63
16,Carnarvon,AU,2021-07-21 14:17:54,-24.8667,113.6333,62.67,67,7,8.05
17,Pangnirtung,CA,2021-07-21 14:17:55,66.1451,-65.7125,42.8,93,90,14.97
18,Airai,TL,2021-07-21 14:17:55,-8.9266,125.4092,57.04,75,8,2.15
19,San Javier,ES,2021-07-21 14:17:55,37.8063,-0.8374,99.81,68,0,5.01
20,Tasiilaq,GL,2021-07-21 14:17:55,65.6145,-37.6368,46.56,91,97,3.47
21,Rikitea,PF,2021-07-21 14:17:56,-23.1203,-134.9692,71.1,67,97,19.13
22,Upernavik,GL,2021-07-21 14:17:56,72.7868,-56.1549,43.16,72,90,3.56
23,Bredasdorp,ZA,2021-07-21 14:17:56,-34.5322,20.0403,51.12,66,100,14.97
24,Barrow,US,2021-07-21 14:15:07,71.2906,-156.7887,35.62,93,90,19.57
25,Orlik,RU,2021-07-21 14:17:56,52.5178,99.825,58.24,80,8,1.14
26,Tambovka,RU,2021-07-21 14:17:56,50.0969,128.0489,77.11,82,98,5.95
27,Banjarmasin,ID,2021-07-21 14:17:57,-3.3244,114.591,73.54,93,100,4.54
28,Kapaa,US,2021-07-21 14:17:57,22.0752,-159.319,75.52,84,75,3.0
29,Cape Town,ZA,2021-07-21 14:17:57,-33.9258,18.4232,54.01,74,75,5.01
30,Hermanus,ZA,2021-07-21 14:17:57,-34.4187,19.2345,50.9,65,100,26.53
31,Grand Gaube,MU,2021-07-21 14:15:59,-20.0064,57.6608,68.4,71,93,27.07
32,Pathein,MM,2021-07-21 14:17:57,16.7833,94.7333,78.44,89,100,17.05
33,Maltahohe,NA,2021-07-21 14:17:58,-24.8333,16.9833,58.46,25,0,4.83
34,Lorengau,PG,2021-07-21 14:17:58,-2.0226,147.2712,81.75,73,100,3.83
35,Kieta,PG,2021-07-21 14:17:58,-6.2167,155.6333,78.46,87,52,6.38
36,Bluff,NZ,2021-07-21 14:17:58,-46.6,168.3333,43.81,90,100,8.5
37,Mataura,NZ,2021-07-21 14:17:58,-46.1927,168.8643,43.48,98,100,0.76
38,Saskylakh,RU,2021-07-21 14:17:58,71.9167,114.0833,60.17,58,100,17.69
39,Erdaojiang,CN,2021-07-21 14:17:59,41.7764,126.0319,72.41,86,100,0.83
40,Dikson,RU,2021-07-21 14:17:59,73.5069,80.5464,52.79,57,54,16.69
41,Yellowknife,CA,2021-07-21 14:18:00,62.456,-114.3525,66.29,72,20,6.91
42,Saint-Pierre,RE,2021-07-21 14:14:31,-21.3393,55.4781,73.04,80,0,23.02
43,Sao Filipe,CV,2021-07-21 14:18:01,14.8961,-24.4956,77.38,81,20,3.49
44,Salalah,OM,2021-07-21 14:18:02,17.0151,54.0924,80.69,83,90,6.91
45,Wencheng,CN,2021-07-21 14:18:03,33.0559,113.7978,77.11,96,97,4.76
46,Bonthe,SL,2021-07-21 14:18:05,7.5264,-12.505,82.11,69,100,11.1
47,Mitsamiouli,KM,2021-07-21 14:18:05,-11.3847,43.2844,77.99,74,69,4.56
48,Champasak,LA,2021-07-21 14:18:06,14.75,106.0,73.87,99,100,1.14
49,Cidreira,BR,2021-07-21 14:18:06,-30.1811,-50.2056,57.78,50,0,9.51
50,Kualakapuas,ID,2021-07-21 14:17:12,-3.0091,114.3876,73.56,96,100,3.69
51,Mar Del Plata,AR,2021-07-21 14:16:30,-38.0023,-57.5575,55.42,50,0,0.0
52,Hilo,US,2021-07-21 14:18:08,19.7297,-155.09,75.27,90,90,5.75
53,New Norfolk,AU,2021-07-21 14:18:09,-42.7826,147.0587,48.7,73,86,1.99
54,Norman Wells,CA,2021-07-21 14:18:09,65.282,-126.8329,68.04,60,20,9.22
55,Kristinehamn,SE,2021-07-21 14:18:11,59.3098,14.1081,77.04,38,0,7.11
56,Bitkine,TD,2021-07-21 14:18:11,11.9801,18.2138,86.68,55,100,3.91
57,Fortuna,US,2021-07-21 14:18:13,40.5982,-124.1573,56.43,67,95,1.01
58,Cockburn Town,TC,2021-07-21 14:18:13,21.4612,-71.1419,81.75,79,26,18.63
59,Palmer,US,2021-07-21 14:18:13,42.1584,-72.3287,76.71,65,75,1.99
60,Tura,IN,2021-07-21 14:18:13,25.5198,90.2201,78.46,91,100,1.97
61,Kruisfontein,ZA,2021-07-21 14:18:14,-34.0033,24.7314,59.88,39,48,23.33
62,Kaitangata,NZ,2021-07-21 14:18:14,-46.2817,169.8464,47.93,83,99,3.85
63,Cayenne,GF,2021-07-21 14:18:14,4.9333,-52.3333,89.64,73,75,3.0
64,Albany,US,2021-07-21 14:18:14,42.6001,-73.9662,74.03,80,47,1.01
65,Hithadhoo,MV,2021-07-21 14:18:14,-0.6,73.0833,82.56,75,100,15.21
66,Narasannapeta,IN,2021-07-21 14:18:14,18.4167,84.05,80.67,83,100,10.49
67,Arraias,BR,2021-07-21 14:18:15,-12.9288,-46.9437,85.08,30,0,9.86
68,Samarai,PG,2021-07-21 14:18:15,-10.6167,150.6667,78.13,82,65,13.02
69,Sao Bento,BR,2021-07-21 14:18:15,-6.2833,-37.75,84.67,39,33,14.63
70,Rocha,UY,2021-07-21 14:18:16,-34.4833,-54.3333,55.67,53,1,5.55
71,Xai-Xai,MZ,2021-07-21 14:18:16,-25.0519,33.6442,82.15,21,0,6.11
72,Bethel,US,2021-07-21 14:18:16,41.3712,-73.414,78.12,77,75,5.75
73,Georgetown,MY,2021-07-21 14:18:16,5.4112,100.3354,85.95,77,20,4.61
74,Half Moon Bay,US,2021-07-21 14:18:17,37.4636,-122.4286,61.63,87,1,0.0
75,Zarubino,RU,2021-07-21 14:18:17,42.63,131.0922,74.88,92,22,2.37
76,Punta Arenas,CL,2021-07-21 14:13:43,-53.15,-70.9167,37.51,90,90,14.97
77,Grajau,BR,2021-07-21 14:18:17,-5.8194,-46.1386,92.44,35,4,8.63
78,Ikirun,NG,2021-07-21 14:18:17,7.9167,4.6667,85.48,79,89,7.4
79,Ewa Beach,US,2021-07-21 14:18:17,21.3156,-158.0072,78.75,70,1,13.0
80,Puerto Baquerizo Moreno,EC,2021-07-21 14:18:18,-0.9,-89.6,72.05,89,100,14.32
